2019-04-18,Jueves Santo
2019-04-19,Viernes Santo
2019-04-21,Domingo de Resurrección
2019-05-01,Día del Trabajo
2019-06-29,Día de San Pedro y San Pablo
2019-07-28,Independencia del Perú
2019-07-29,Fiesta de la Independencia del Perú
2019-07-30,Día no laborable decretado por el Gobierno
2019-08-29,Día no laborable decretado por el Gobierno
2019-08-30,Festividad de Santa Rosa de Lima
2019-10-08,Celebración del Combate de Angamos
2019-10-31,Día no laborable decretado por el Gobierno
2019-11-01,Día de Todos los Santos
2019-12-08,Día de la Inmaculada Concepción
2019-12-25,Navidad
